email,first_name,initials,last_name,dob,gender,role,phone,street_address,city,state_province,postal_code,country,password1,password2
alex_binger@gmail.com,Alex,E,Binger,12/3/1965,male,parent,+4796127948,Lundbråten 11,Førde,Førde,9376,NO,@0BusiaKenya,@0BusiaKenya
bailey_walekhwa@yahoo.com,Bailey,I,Walekhwa,6/3/1971,female,parent,+4796697627,Havgata 66,Kongsvinger,Kongsvinger,9117,NO,@0BusiaKenya,@0BusiaKenya
cameron_leo@outlook.com,Cameron,M,Leo,10/29/1963,male,parent,+4796566046,Skoggata 22,Notodden,Notodden,3770,NO,@0BusiaKenya,@0BusiaKenya
dakota_hlongwane@hotmail.com,Dakota,K,Hlongwane,3/26/1971,male,parent,+4796753959,Elvbakken 95,Fauske,Fauske,2073,NO,@0BusiaKenya,@0BusiaKenya
elliot_kedibone@aol.com,Elliot,L,Kedibone,6/25/1974,male,parent,+4796913718,Elvhagen 27,Arendal,Arendal,8845,NO,@0BusiaKenya,@0BusiaKenya
finley_hansen@icloud.com,Finley,N,Hansen,10/23/1970,male,parent,+4796898448,Vikhagen 190,Notodden,Notodden,9684,NO,@0BusiaKenya,@0BusiaKenya
gabriel_johansen@protonmail.com,Gabriel,B,Johansen,11/8/1970,male,parent,+4796812002,Vikgata 125,Førde,Førde,1603,NO,@0BusiaKenya,@0BusiaKenya
harper_olsen@zoho.com,Harper,R,Olsen,7/21/1963,female,parent,+4796958236,Bergbakken 102,Jessheim,Jessheim,2186,NO,@0BusiaKenya,@0BusiaKenya
isaac_larsen@gmx.com,Isaac,A,Larsen,9/1/1971,male,parent,+4796461106,Elvplassen 97,Moss,Moss,4164,NO,@0BusiaKenya,@0BusiaKenya
jordan_jensen@yandex.com,Jordan,R,Jensen,8/13/1972,male,parent,+4796239563,Åsplassen 69,Moss,Moss,4049,NO,@0BusiaKenya,@0BusiaKenya
kendall_de vries@mail.com,Kendall,N,de Vries,9/23/1966,female,parent,+4796660405,Vikveien 110,Fauske,Fauske,1243,NO,@0BusiaKenya,@0BusiaKenya
