email,classgroup,code
donna_ivanov@bivgs.com,2025-G10,TRANSFER
joshua_andersen@bivgs.com,2025-G10,TRANSFER
michelle_bakker@bivgs.com,2025-G10,TRANSFER
melissa_ivanov@bivgs.com,2025-G10,TRANSFER
george_popescu@bivgs.com,2025-G10,TRANSFER
deborah_bakker@bivgs.com,2025-G10,TRANSFER
edward_dimitrov@bivgs.com,2025-G10,TRANSFER
stephanie_lindberg@bivgs.com,2025-G10,TRANSFER
ronald_kowalski@bivgs.com,2025-G10,TRANSFER
timothy_petrov@bivgs.com,2025-G10,TRANSFER
laura_kowalski@bivgs.com,2025-G10,TRANSFER
jason_johansson@bivgs.com,2025-G10,TRANSFER
sharon_ivanov@bivgs.com,2025-G10,TRANSFER
jeffrey_jensen@bivgs.com,2025-G10,TRANSFER
cynthia_ivanov@bivgs.com,2025-G10,TRANSFER
ryan_dubois@bivgs.com,2025-G10,TRANSFER
jacob_rossi@bivgs.com,2025-G10,TRANSFER
amy_petrov@bivgs.com,2025-G10,TRANSFER
shirley_novak@bivgs.com,2025-G10,TRANSFER
nicholas_schneider@bivgs.com,2025-G10,TRANSFER
angela_petrov@bivgs.com,2025-G10,TRANSFER
helen_smits@bivgs.com,2025-G10,TRANSFER
stephen_ivanov@bivgs.com,2025-G10,TRANSFER
brenda_popescu@bivgs.com,2025-G10,TRANSFER
larry_dubois@bivgs.com,2025-G10,TRANSFER
nicole_petrov@bivgs.com,2025-G10,TRANSFER
scott_andersen@bivgs.com,2025-G10,TRANSFER
emma_andersen@bivgs.com,2025-G10,TRANSFER
brandon_smits@bivgs.com,2025-G10,TRANSFER
samantha_novak@bivgs.com,2025-G10,TRANSFER
benjamin_lindberg@bivgs.com,2025-G10,TRANSFER
katherine_dimitrov@bivgs.com,2025-G10,TRANSFER
samuel_johansson@bivgs.com,2025-G10,TRANSFER
christine_jensen@bivgs.com,2025-G10,TRANSFER
gregory_smits@bivgs.com,2025-G10,TRANSFER
debra_jensen@bivgs.com,2025-G10,TRANSFER
alexander_jensen@bivgs.com,2025-G10,TRANSFER
catherine_schneider@bivgs.com,2025-G10,TRANSFER
frank_schneider@bivgs.com,2025-G10,TRANSFER
carolyn_kowalski@bivgs.com,2025-G10,TRANSFER
