email,department_code,academic_year
naomi_bruno@testteacher.no,ADM,2025
lydia_canova@testteacher.no,ADM,2025
joanna_eriksen@testteacher.no,ADM,2025
abigail_fiva@testteacher.no,ADM,2025
simon_galle@testteacher.no,ADM,2025
benny_geys@testteacher.no,ADM,2025
elizabeth_ehling@testteacher.no,ICT,2025
rachel_wang@testteacher.no,ADM,2025
lin_ma@testteacher.no,ICT,2025
alessia_russo@testteacher.no,ICT,2025
adrien_vigier@testteacher.no,ICT,2025
rebecca_silkoset@testteacher.no,ADM,2025
esther_brinch@testteacher.no,ENG,2025
plamen_nenov@testteacher.no,ENG,2025
genaro_sucarrat@testteacher.no,ENG,2025
gisle_natvik@testteacher.no,ENG,2025
mary_warlop@testteacher.no,HUM,2025
anna_nerstad@testteacher.no,ADM,2025
david_kreiberg@testteacher.no,HUM,2025
christian_riis@testteacher.no,HUM,2025
anders_tveit@testteacher.no,HUM,2025
sarah_stauskas@testteacher.no,MAT,2025
leah_fieseler@testteacher.no,ADM,2025
espen_moen@testteacher.no,MAT,2025
erling_larsen@testteacher.no,MAT,2025
deborah_cross@testteacher.no,MAT,2025
hannah_kisser@testteacher.no,SCI,2025
martha_andersen@testteacher.no,ADM,2025
knut_mork@testteacher.no,SCI,2025
albert_satorra@testteacher.no,SCI,2025
francisco_martinez@testteacher.no,SCI,2025
