email,Subject_Name,year,is_active
adrien_vigier@testteacher.no,ICT-G12,2025,TRUE
albert_satorra@testteacher.no,SCI-G11,2025,TRUE
alessia_russo@testteacher.no,ICT-G9,2025,TRUE
anders_tveit@testteacher.no,HUM-G11,2025,TRUE
christian_riis@testteacher.no,HUM-G9,2025,TRUE
david_kreiberg@testteacher.no,HUM-G10,2025,TRUE
deborah_cross@testteacher.no,MAT-G12,2025,TRUE
elizabeth_ehling@testteacher.no,ICT-G10,2025,TRUE
erling_larsen@testteacher.no,MAT-G11,2025,TRUE
espen_moen@testteacher.no,MAT-G10,2025,TRUE
francisco_martinez@testteacher.no,SCI-G12,2025,TRUE
genaro_sucarrat@testteacher.no,ENG-G10,2025,TRUE
gisle_natvik@testteacher.no,ENG-G12,2025,TRUE
hannah_kisser@testteacher.no,SCI-G9,2025,TRUE
knut_mork@testteacher.no,SCI-G10,2025,TRUE
lin_ma@testteacher.no,ICT-G11,2025,TRUE
mary_warlop@testteacher.no,HUM-G12,2025,TRUE
plamen_nenov@testteacher.no,ENG-G11,2025,TRUE
rebecca_silkoset@testteacher.no,ENG-G9,2025,TRUE
sarah_stauskas@testteacher.no,MAT-G9,2025,TRUE
