email,department,subject_speciality,subject,is_teaching
naomi_bruno@testteacher.no,ADM,ENG,,FALSE
lydia_canova@testteacher.no,ADM,HUM,,FALSE
joanna_eriksen@testteacher.no,ADM,HUM,,FALSE
abigail_fiva@testteacher.no,ADM,HUM,,FALSE
simon_galle@testteacher.no,ADM,MAT,,FALSE
benny_geys@testteacher.no,ADM,ICT,,FALSE
elizabeth_ehling@testteacher.no,ICT,ICT,Introduction to Programming,TRUE
rachel_wang@testteacher.no,ADM,ICT,,FALSE
lin_ma@testteacher.no,ICT,ICT,Data Structures,TRUE
alessia_russo@testteacher.no,ICT,ICT,Basics of Computing,TRUE
adrien_vigier@testteacher.no,ICT,ICT,Software Development,TRUE
rebecca_silkoset@testteacher.no,ADM,ENG,Foundations of English Literature,TRUE
esther_brinch@testteacher.no,ENG,ENG,,FALSE
plamen_nenov@testteacher.no,ENG,ENG,English Literature & Analysis,TRUE
genaro_sucarrat@testteacher.no,ENG,ENG,Intermediate English Composition,TRUE
gisle_natvik@testteacher.no,ENG,ENG,Advanced Writing & Rhetoric,TRUE
mary_warlop@testteacher.no,HUM,HUM,Philosophy & Ethics,TRUE
anna_nerstad@testteacher.no,ADM,HUM,,FALSE
david_kreiberg@testteacher.no,HUM,HUM,Cultural Studies,TRUE
christian_riis@testteacher.no,HUM,HUM,World History I,TRUE
anders_tveit@testteacher.no,HUM,HUM,Modern History,TRUE
sarah_stauskas@testteacher.no,MAT,MAT,Introduction To Algebra I,TRUE
leah_fieseler@testteacher.no,ADM,MAT,,FALSE
espen_moen@testteacher.no,MAT,MAT,Linear Algebra,TRUE
erling_larsen@testteacher.no,MAT,MAT,Advanced Algebra II,TRUE
deborah_cross@testteacher.no,MAT,MAT,Calculus I,TRUE
hannah_kisser@testteacher.no,SCI,SCI,General Science I,TRUE
martha_andersen@testteacher.no,ADM,SCI,,FALSE
knut_mork@testteacher.no,SCI,SCI,Biology Essentials,TRUE
albert_satorra@testteacher.no,SCI,SCI,Chemistry Foundations,TRUE
francisco_martinez@testteacher.no,SCI,SCI,Physics I,TRUE
