email,teacher_role,salary
mary_warlop@testteacher.no,Subject Teacher,20000
elizabeth_ehling@testteacher.no,Subject Teacher,20000
sarah_stauskas@testteacher.no,Subject Teacher,20000
hannah_kisser@testteacher.no,Subject Teacher,20000
rebecca_silkoset@testteacher.no,Subject Teacher,20000
anna_nerstad@testteacher.no,HOD,25000
rachel_wang@testteacher.no,HOD,25000
leah_fieseler@testteacher.no,HOD,25000
martha_andersen@testteacher.no,HOD,25000
esther_brinch@testteacher.no,HOD,25000
naomi_bruno@testteacher.no,Classroom Teacher,22000
lydia_canova@testteacher.no,Classroom Teacher,22000
joanna_eriksen@testteacher.no,Classroom Teacher,22000
abigail_fiva@testteacher.no,Classroom Teacher,22000
simon_galle@testteacher.no,Principal,50000
benny_geys@testteacher.no,Vice Principal,40000
david_kreiberg@testteacher.no,Subject Teacher,20000
lin_ma@testteacher.no,Subject Teacher,20000
espen_moen@testteacher.no,Subject Teacher,20000
knut_mork@testteacher.no,Subject Teacher,20000
plamen_nenov@testteacher.no,Subject Teacher,20000
christian_riis@testteacher.no,Subject Teacher,20000
alessia_russo@testteacher.no,Subject Teacher,20000
erling_larsen@testteacher.no,Subject Teacher,20000
albert_satorra@testteacher.no,Subject Teacher,20000
genaro_sucarrat@testteacher.no,Subject Teacher,20000
anders_tveit@testteacher.no,Subject Teacher,20000
adrien_vigier@testteacher.no,Subject Teacher,20000
deborah_cross@testteacher.no,Subject Teacher,20000
francisco_martinez@testteacher.no,Subject Teacher,20000
gisle_natvik@testteacher.no,Subject Teacher,20000
